АФГАНИСТАН
САУДОВСКАЯ АРАВИЯ
СЕНЕГАЛ
СЕРБИЯ
СЕЙШЕЛЫ
СЬЕРРА-ЛЕОНЕ
СИНГАПУР
СЛОВАКИЯ
ВЬЕТНАМ
СЛОВЕНИЯ
СОМАЛИ
ЮЖНАЯ АФРИКА
ЗИМБАБВЕ
ИСПАНИЯ
ЮЖНЫЙ СУДАН
СУДАН
ЗАПАДНАЯ САХАРА Росстандарта от 14.12.2011 N 1514-ст
СУРИНАМ
ШПИЦБЕРГЕН И ЯН МАЙЕН
СВАЗИЛЕНД
ШВЕЦИЯ
ШВЕЙЦАРИЯ
СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА
ТАДЖИКИСТАН
ТАИЛАНД
ТОГО
ТОКЕЛАУ
ТОНГА
ТРИНИДАД И ТОБАГО
ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
ТУНИС
ТУРЦИЯ
ТУРКМЕНИЯ
ОСТРОВА ТЕРКС И КАЙКОС
ТУВАЛУ
УГАНДА
УКРАИНА
РЕСПУБЛИКА МАКЕДОНИЯ
ЕГИПЕТ
СОЕДИНЕННОЕ КОРОЛЕВСТВО
ГЕРНСИ
ДЖЕРСИ
ОСТРОВ МЭН
ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА
СОЕДИНЕННЫЕ ШТАТЫ
ВИРГИНСКИЕ ОСТРОВА, США
БУРКИНА-ФАСО
УРУГВАЙ
УЗБЕКИСТАН
ВЕНЕСУЭЛА БОЛИВАРИАНСКАЯ РЕСПУБЛИКА
УОЛЛИС И ФУТУНА
САМОА
ЙЕМЕН
ЗАМБИЯ
АБХАЗИЯ
ЮЖНАЯ ОСЕТИЯ
